Time,gwl_median(m),gwl_median_abs_error(m),Number of Wells
2004-01-01,7.212649548,4.6021850319999995,24
2004-02-01,7.20578731,4.681309532,24
2004-03-01,7.183349419,4.723318451,24
2004-04-01,7.1757032,4.7145448,24
2004-05-01,7.189937032,4.632360232,24
2004-06-01,7.2337168,4.6665388,24
2004-07-01,7.343123613,4.874520704,24
2004-08-01,7.484216516,5.011993543999999,24
2004-09-01,7.5928728,5.0289459999999995,24
2004-10-01,7.601220387,4.908312383,24
2004-11-01,7.577395733,4.919946133,24
2004-12-01,7.557368516,4.950443613000001,24
2005-01-01,7.556975226,5.128505807,24
2005-02-01,7.520958815,5.101072593,24
2005-03-01,7.510108129,5.161928929,24
2005-04-01,7.488360267,5.097256819,24
2005-05-01,7.3988168,4.9116488,24
2005-06-01,7.373272421,4.8853686970000005,24
2005-07-01,7.263810065,4.686421265,24
2005-08-01,7.482053419,4.7169930319999995,24
2005-09-01,7.4944224,4.8110648,24
2005-10-01,7.484937548,4.786703742,24
2005-11-01,7.4624184,4.809337599999999,24
2005-12-01,7.456194581,4.93776,24
2006-01-01,7.517351226,5.039032258,24
2006-02-01,7.536905714,5.047778285000001,24
2006-03-01,7.565037677,5.082638322,24
2006-04-01,7.5665584,5.060052533,24
2006-05-01,7.581752516,4.993951355,24
2006-06-01,7.565169867,4.810539866999999,24
2006-07-01,7.603285161,5.056632,24
2006-08-01,7.721567226,5.187990968,24
2006-09-01,7.7171296,5.0624232,24
2006-10-01,7.686924903,5.034968258000001,24
2006-11-01,7.6490576,5.015738,24
2006-12-01,7.620196645,5.031412258,24
2007-01-01,7.463863742,5.183197742,24
2007-02-01,7.428193714,5.212188856,24
2007-03-01,7.408950581,5.198467409,24
2007-04-01,7.3689972,5.1686133430000005,24
2007-05-01,7.249028903,5.208982837,24
2007-06-01,7.0985888,5.2879244,24
2007-07-01,7.125486581,5.57022,24
2007-08-01,7.041666581,4.785956081,24
2007-09-01,6.9892672,4.652518,24
2007-10-01,6.943442323,5.098419097000001,24
2007-11-01,6.9065648,5.0308256,24
2007-12-01,6.858983226,4.958653549,24
2008-01-01,6.32587,4.462362129000001,24
2008-02-01,6.262224857,4.3989509259999995,24
2008-03-01,6.2996064,4.6171104,24
2008-04-01,6.1809884,4.4267628000000006,24
2008-05-01,6.118614194,4.814266839,24
2008-06-01,5.665706483,4.294462083,24
2008-07-01,5.5911496,4.055940826,24
2008-08-01,5.605173677,3.930396,24
2008-09-01,5.6996584,3.805965029,24
2008-10-01,5.588762,3.761188206999999,24
2008-11-01,5.6467248,4.061206,24
2008-12-01,5.7298335415,3.9057939929999996,24
2009-01-01,5.477206839,3.853043253,24
2009-02-01,5.449062,3.8298119999999995,24
2009-03-01,5.424063484,3.7806659670000005,24
2009-04-01,5.4027832,3.7787434859999998,24
2009-05-01,5.387487484,3.7662661159999997,24
2009-06-01,5.2335176,3.865372,24
2009-07-01,5.296391613,3.807291213,24
2009-08-01,5.4900068,3.8431169819999997,24
2009-09-01,5.614924,3.8635432000000005,24
2009-10-01,5.566532903,3.7929901929999996,24
2009-11-01,5.5276496,3.9177976,24
2009-12-01,5.509210839,3.902423226,24
2010-01-01,5.543820387,3.872729806,24
2010-02-01,5.508824571,3.770267142,24
2010-03-01,5.465703097,3.9686926449999995,24
2010-04-01,5.408422,3.8283388,24
2010-05-01,5.35725329,3.698256387,24
2010-06-01,5.1095656,3.6438331999999996,24
2010-07-01,4.932106452,3.185110839,24
2010-08-01,4.95339329,2.989940516,24
2010-09-01,5.1595528,3.088068938,24
2010-10-01,5.261634581,3.133835613,24
2010-11-01,5.3193696,3.231896,24
2010-12-01,5.323282839,3.244251871,24
2011-01-01,5.1918616,3.1885390190000003,24
2011-02-01,5.159473778,3.0871724449999998,24
2011-03-01,5.134356,3.4102040000000002,24
2011-04-01,5.102824966,3.400464414,24
2011-05-01,5.0477928,3.4941256,24
2011-06-01,4.733438897,2.941214897,24
2011-07-01,4.664374065,2.9753814910000003,24
2011-08-01,5.116929391,3.344711898999999,24
2011-09-01,5.0408332,3.217265600000001,24
2011-10-01,5.19049,3.1358430319999995,24
2011-11-01,5.203444,3.1425896,24
2011-12-01,5.185631226,3.152172774,24
